Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pressure [mBar],Temp DH [C]
2024/08/08 16:11:26,987.37,43.17,22.95,23.00,2.79,0.00, NAN
2024/08/08 16:11:30,987.32,41.84,22.93,23.25,2.78,0.00, NAN
2024/08/08 16:11:35,987.31,41.12,22.98,23.25,2.78,0.00, NAN
2024/08/08 16:11:40,987.31,40.72,23.03,23.25,2.78,0.00, NAN
2024/08/08 16:11:45,987.34,40.10,23.07,23.50,2.78,0.00, NAN
2024/08/08 16:11:50,987.28,39.34,23.12,23.25,2.78,0.00, NAN
2024/08/08 16:11:55,987.27,39.11,23.18,23.50,2.78,0.00, NAN
2024/08/08 16:12:00,987.30,39.03,23.24,23.50,2.78,0.00, NAN
2024/08/08 16:12:05,987.32,38.72,23.30,23.50,2.78,0.00, NAN
2024/08/08 16:12:10,987.29,38.51,23.37,23.75,2.78,0.00, NAN
2024/08/08 16:12:15,987.31,38.32,23.43,24.00,2.78,0.00, NAN
2024/08/08 16:12:20,987.32,38.17,23.49,24.00,2.78,0.00, NAN
2024/08/08 16:12:25,987.33,37.95,23.55,24.00,2.78,0.00, NAN
2024/08/08 16:12:30,987.28,37.67,23.60,24.00,2.78,0.00, NAN
2024/08/08 16:12:35,987.28,37.59,23.65,24.00,2.78,0.00, NAN
2024/08/08 16:12:40,987.33,37.46,23.70,24.00,2.78,0.00, NAN
2024/08/08 16:12:45,987.30,37.17,23.76,24.25,2.78,0.00, NAN
2024/08/08 16:12:50,987.24,36.96,23.79,24.25,2.78,0.00, NAN
2024/08/08 16:12:55,987.26,36.66,23.83,24.50,2.78,0.00, NAN
2024/08/08 16:13:00,987.28,36.63,23.89,24.25,2.78,0.00, NAN
2024/08/08 16:13:05,987.30,36.98,23.94,24.50,2.78,0.00, NAN
2024/08/08 16:13:10,987.23,36.45,23.98,24.50,2.77,0.00, NAN
2024/08/08 16:13:15,987.32,36.16,24.02,24.50,2.78,0.00, NAN
2024/08/08 16:13:20,987.35,36.16,24.06,24.50,2.78,0.00, NAN
2024/08/08 16:13:25,987.32,36.00,24.10,24.50,2.77,0.00, NAN
2024/08/08 16:13:30,987.29,36.02,24.15,24.50,2.77,0.00, NAN
2024/08/08 16:13:35,987.22,35.87,24.20,24.75,2.77,0.00, NAN
2024/08/08 16:13:40,987.27,35.72,24.24,24.75,2.77,0.00, NAN
2024/08/08 16:13:45,987.27,35.58,24.27,24.75,2.77,0.00, NAN
2024/08/08 16:13:50,987.31,35.47,24.30,24.75,2.78,0.00, NAN
2024/08/08 16:13:55,987.29,35.47,24.35,25.00,2.77,0.00, NAN
2024/08/08 16:14:00,987.27,35.38,24.39,24.75,2.78,0.00, NAN
2024/08/08 16:14:05,987.30,35.28,24.42,25.00,2.77,0.00, NAN
2024/08/08 16:14:10,987.29,35.18,24.46,25.00,2.77,0.00, NAN
